# Neuron Index, RF Height, RF Width
279, 24, 18
280, 23, 18
281, 23, 19
282, 23, 20
283, 23, 21
284, 23, 22
285, 23, 23
286, 23, 24
287, 23, 25
288, 23, 26
289, 23, 27
290, 23, 27
291, 23, 26
292, 23, 25
293, 23, 24
294, 23, 23
295, 23, 22
296, 23, 21
297, 23, 20
298, 23, 19
299, 23, 18
300, 22, 18
301, 22, 19
302, 22, 20
303, 22, 21
304, 22, 22
305, 22, 23
306, 22, 24
307, 22, 25
308, 22, 26
309, 22, 27
310, 22, 27
311, 22, 26
312, 22, 25
313, 22, 24
314, 22, 23
315, 22, 22
316, 22, 21
317, 22, 20
318, 22, 19
319, 22, 18
320, 21, 18
321, 21, 19
322, 21, 20
323, 21, 21
324, 21, 22
325, 21, 23
326, 21, 24
327, 21, 25
328, 21, 26
329, 21, 27
330, 21, 27
331, 21, 26
332, 21, 25
333, 21, 24
334, 21, 23
335, 21, 22
336, 21, 21
337, 21, 20
338, 21, 19
339, 21, 18
340, 20, 18
341, 20, 19
342, 20, 20
343, 20, 21
344, 20, 22
345, 20, 23
346, 20, 24
347, 20, 25
348, 20, 26
349, 20, 27
350, 20, 27
351, 20, 26
352, 20, 25
353, 20, 24
354, 20, 23
355, 20, 22
356, 20, 21
357, 20, 20
358, 20, 19
359, 20, 18
360, 19, 18
361, 19, 19
362, 19, 20
363, 19, 21
364, 19, 22
365, 19, 23
366, 19, 24
367, 19, 25
368, 19, 26
369, 19, 27
370, 19, 27
371, 19, 26
372, 19, 25
373, 19, 24
374, 19, 23
375, 19, 22
376, 19, 21
377, 19, 20
378, 19, 19
379, 19, 18
380, 18, 18
381, 18, 19
382, 18, 20
383, 18, 21
384, 18, 22
385, 18, 23
386, 18, 24
387, 18, 25
388, 18, 26
389, 18, 27
390, 18, 27
391, 18, 26
392, 18, 25
393, 18, 24
394, 18, 23
395, 18, 22
396, 18, 21
397, 18, 20
398, 18, 19
399, 18, 18
